"Label (Grouping)","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 9 years","SEX AND AGE!!Total population!!10 to 14 years","SEX AND AGE!!Total population!!15 to 19 years","SEX AND AGE!!Total population!!20 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 59 years","SEX AND AGE!!Total population!!60 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 to 84 years","SEX AND AGE!!Total population!!85 years and over","SEX AND AGE!!Total population!!Median age (years)","Total housing units"
"ZCTA5 19102","","","","","","","","","","","","","","","","","","",""
"    Estimate","5,147","2,679","2,468","108.5","145","18","0","244","605","2,054","624","277","118","176","477","281","128","31.6","3,619"
"    Percent","5,147","52.0%","48.0%","(X)","2.8%","0.3%","0.0%","4.7%","11.8%","39.9%","12.1%","5.4%","2.3%","3.4%","9.3%","5.5%","2.5%","(X)","(X)"
"ZCTA5 19103","","","","","","","","","","","","","","","","","","",""
"    Estimate","24,214","10,491","13,723","76.4","645","312","289","351","1,508","8,629","2,673","2,178","1,217","1,106","2,893","1,615","798","36.2","17,613"
"    Percent","24,214","43.3%","56.7%","(X)","2.7%","1.3%","1.2%","1.4%","6.2%","35.6%","11.0%","9.0%","5.0%","4.6%","11.9%","6.7%","3.3%","(X)","(X)"
"ZCTA5 19104","","","","","","","","","","","","","","","","","","",""
"    Estimate","53,560","26,110","27,450","95.1","2,220","2,158","2,076","9,552","14,102","9,289","3,766","3,141","1,641","1,476","2,344","1,080","715","22.9","20,053"
"    Percent","53,560","48.7%","51.3%","(X)","4.1%","4.0%","3.9%","17.8%","26.3%","17.3%","7.0%","5.9%","3.1%","2.8%","4.4%","2.0%","1.3%","(X)","(X)"
"ZCTA5 19106","","","","","","","","","","","","","","","","","","",""
"    Estimate","12,592","6,234","6,358","98.0","348","279","149","97","560","4,081","1,807","1,458","673","834","1,267","824","215","38.6","7,683"
"    Percent","12,592","49.5%","50.5%","(X)","2.8%","2.2%","1.2%","0.8%","4.4%","32.4%","14.4%","11.6%","5.3%","6.6%","10.1%","6.5%","1.7%","(X)","(X)"
"ZCTA5 19107","","","","","","","","","","","","","","","","","","",""
"    Estimate","14,526","7,071","7,455","94.8","294","233","413","499","1,684","5,674","1,551","1,539","575","506","709","584","265","30.8","8,829"
"    Percent","14,526","48.7%","51.3%","(X)","2.0%","1.6%","2.8%","3.4%","11.6%","39.1%","10.7%","10.6%","4.0%","3.5%","4.9%","4.0%","1.8%","(X)","(X)"
"ZCTA5 19109","","","","","","","","","","","","","","","","","","",""
"    Estimate","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","-","0"
"    Percent","0","-","-","(X)","-","-","-","-","-","-","-","-","-","-","-","-","-","(X)","(X)"
"ZCTA5 19111","","","","","","","","","","","","","","","","","","",""
"    Estimate","68,113","32,388","35,725","90.7","5,115","4,609","4,753","3,809","3,761","10,214","10,155","8,010","4,625","3,885","5,104","2,443","1,630","36.7","26,406"
"    Percent","68,113","47.6%","52.4%","(X)","7.5%","6.8%","7.0%","5.6%","5.5%","15.0%","14.9%","11.8%","6.8%","5.7%","7.5%","3.6%","2.4%","(X)","(X)"
"ZCTA5 19112","","","","","","","","","","","","","","","","","","",""
"    Estimate","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","-","0"
"    Percent","0","-","-","(X)","-","-","-","-","-","-","-","-","-","-","-","-","-","(X)","(X)"
"ZCTA5 19113","","","","","","","","","","","","","","","","","","",""
"    Estimate","96","54","42","128.6","4","0","14","0","13","4","19","0","22","0","20","0","0","39.8","50"
"    Percent","96","56.3%","43.8%","(X)","4.2%","0.0%","14.6%","0.0%","13.5%","4.2%","19.8%","0.0%","22.9%","0.0%","20.8%","0.0%","0.0%","(X)","(X)"
"ZCTA5 19114","","","","","","","","","","","","","","","","","","",""
"    Estimate","31,668","15,471","16,197","95.5","1,846","1,797","1,641","1,351","1,517","4,948","3,934","4,092","2,173","2,227","3,229","2,120","793","40.8","13,887"
"    Percent","31,668","48.9%","51.1%","(X)","5.8%","5.7%","5.2%","4.3%","4.8%","15.6%","12.4%","12.9%","6.9%","7.0%","10.2%","6.7%","2.5%","(X)","(X)"
"ZCTA5 19115","","","","","","","","","","","","","","","","","","",""
"    Estimate","35,346","16,577","18,769","88.3","2,207","2,013","1,607","1,515","1,519","5,003","4,275","4,037","2,442","2,468","3,969","2,807","1,484","43.6","14,237"
"    Percent","35,346","46.9%","53.1%","(X)","6.2%","5.7%","4.5%","4.3%","4.3%","14.2%","12.1%","11.4%","6.9%","7.0%","11.2%","7.9%","4.2%","(X)","(X)"
"ZCTA5 19116","","","","","","","","","","","","","","","","","","",""
"    Estimate","34,747","16,274","18,473","88.1","2,056","2,024","1,958","1,122","1,325","5,365","4,116","4,344","2,538","2,674","3,750","2,290","1,185","43.3","13,238"
"    Percent","34,747","46.8%","53.2%","(X)","5.9%","5.8%","5.6%","3.2%","3.8%","15.4%","11.8%","12.5%","7.3%","7.7%","10.8%","6.6%","3.4%","(X)","(X)"
"ZCTA5 19118","","","","","","","","","","","","","","","","","","",""
"    Estimate","10,884","4,963","5,921","83.8","470","405","434","1,031","569","1,352","1,090","1,680","699","648","1,541","599","366","45.7","4,718"
"    Percent","10,884","45.6%","54.4%","(X)","4.3%","3.7%","4.0%","9.5%","5.2%","12.4%","10.0%","15.4%","6.4%","6.0%","14.2%","5.5%","3.4%","(X)","(X)"
"ZCTA5 19119","","","","","","","","","","","","","","","","","","",""
"    Estimate","28,192","12,594","15,598","80.7","1,919","1,519","1,247","1,231","1,221","3,459","4,101","3,891","1,726","2,169","3,241","1,472","996","43.0","13,238"
"    Percent","28,192","44.7%","55.3%","(X)","6.8%","5.4%","4.4%","4.4%","4.3%","12.3%","14.5%","13.8%","6.1%","7.7%","11.5%","5.2%","3.5%","(X)","(X)"
"ZCTA5 19120","","","","","","","","","","","","","","","","","","",""
"    Estimate","74,060","35,205","38,855","90.6","5,956","5,638","6,570","5,761","6,491","10,764","8,613","10,024","4,874","3,343","3,961","1,654","411","30.2","24,879"
"    Percent","74,060","47.5%","52.5%","(X)","8.0%","7.6%","8.9%","7.8%","8.8%","14.5%","11.6%","13.5%","6.6%","4.5%","5.3%","2.2%","0.6%","(X)","(X)"
"ZCTA5 19121","","","","","","","","","","","","","","","","","","",""
"    Estimate","32,385","14,988","17,397","86.2","1,728","2,064","1,995","2,972","5,655","4,773","2,871","3,107","1,814","2,200","1,637","1,263","306","27.9","16,432"
"    Percent","32,385","46.3%","53.7%","(X)","5.3%","6.4%","6.2%","9.2%","17.5%","14.7%","8.9%","9.6%","5.6%","6.8%","5.1%","3.9%","0.9%","(X)","(X)"
"ZCTA5 19122","","","","","","","","","","","","","","","","","","",""
"    Estimate","21,666","10,734","10,932","98.2","1,168","841","1,137","4,143","2,595","3,901","2,089","2,047","990","874","1,067","597","217","27.6","7,933"
"    Percent","21,666","49.5%","50.5%","(X)","5.4%","3.9%","5.2%","19.1%","12.0%","18.0%","9.6%","9.4%","4.6%","4.0%","4.9%","2.8%","1.0%","(X)","(X)"
"ZCTA5 19123","","","","","","","","","","","","","","","","","","",""
"    Estimate","17,351","8,465","8,886","95.3","1,000","667","375","679","989","6,081","2,592","1,635","713","577","1,269","504","270","32.5","8,812"
"    Percent","17,351","48.8%","51.2%","(X)","5.8%","3.8%","2.2%","3.9%","5.7%","35.0%","14.9%","9.4%","4.1%","3.3%","7.3%","2.9%","1.6%","(X)","(X)"
"ZCTA5 19124","","","","","","","","","","","","","","","","","","",""
"    Estimate","70,304","33,393","36,911","90.5","6,777","5,779","6,825","5,269","4,685","9,831","9,424","8,573","3,890","3,470","3,920","1,431","430","31.0","25,492"
"    Percent","70,304","47.5%","52.5%","(X)","9.6%","8.2%","9.7%","7.5%","6.7%","14.0%","13.4%","12.2%","5.5%","4.9%","5.6%","2.0%","0.6%","(X)","(X)"
"ZCTA5 19125","","","","","","","","","","","","","","","","","","",""
"    Estimate","25,850","13,371","12,479","107.1","1,929","1,041","682","640","1,216","8,598","4,393","2,907","1,066","1,268","1,415","549","146","33.3","11,665"
