business_id,postal_code,business_lat,business_long,overall_business_stars,overall_review_count,isromantic,isintimate,istouristy,ishipster,isdivey,isclassy,istrendy,isupscale,iscasual,parking_garage,parking_street,parking_validated,parking_lot,parking_valet,alcohol,outdoorseating,restaurantstableservice,bikeparking,happyhour,byob,businessacceptscreditcards,restaurantscounterservice,hastv,restaurantspricerange2,restaurantsreservations,restaurantsdelivery,wifi,restaurantstakeout,n_photo,attribute_count,average_stars_2018,average_stars_2019,review_count_2018,review_count_2019,check_in_count_2018,check_in_count_2019,Total.population_2018,Total.population_2019,children_2018,children_2019,youth_2018,youth_2019,adults_2018,adults_2019,elders_2018,elders_2019,surrounding_children_2018,surrounding_youth_2018,surrounding_adults_2018,surrounding_elders_2018,surrounding_children_2019,surrounding_youth_2019,surrounding_adults_2019,surrounding_elders_2019,scaled_capped_business_proximity,landmarks_nearby,capped_Total.population_2018,scaled_capped_Total.population_2018,capped_Total.population_2019,scaled_capped_Total.population_2019,capped_children_2018,scaled_capped_children_2018,capped_children_2019,scaled_capped_children_2019,capped_youth_2018,scaled_capped_youth_2018,capped_youth_2019,scaled_capped_youth_2019,capped_adults_2018,scaled_capped_adults_2018,capped_adults_2019,scaled_capped_adults_2019,capped_elders_2018,scaled_capped_elders_2018,capped_elders_2019,scaled_capped_elders_2019,capped_surrounding_children_2018,scaled_capped_surrounding_children_2018,capped_surrounding_youth_2018,scaled_capped_surrounding_youth_2018,capped_surrounding_adults_2018,scaled_capped_surrounding_adults_2018,capped_surrounding_elders_2018,scaled_capped_surrounding_elders_2018,capped_surrounding_children_2019,scaled_capped_surrounding_children_2019,capped_surrounding_youth_2019,scaled_capped_surrounding_youth_2019,capped_surrounding_adults_2019,scaled_capped_surrounding_adults_2019,capped_surrounding_elders_2019,scaled_capped_surrounding_elders_2019
00AGVWzkxNLGb-7ZrwAOIA,19139,39.9532594,-75.2170205,3,70,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,NA,1,NA,NA,0,NA,1,1,0,1,0,1,0,9,2,NA,6,0,2,2,44870,46397,9958,10556,6191,6533,22881,23428,5840,5880,44760,49723,118242,29849,45936,48994,117345,30378,0.6295659175119628,18,44870,0.4534868800923847,46397,0.48776368513428486,9958,0.8931213017751479,10556,1.0535714285714286,6191,1.6831501831501832,6533,1.8069806560134567,22881,0.3201757138374647,23428,0.32391995511501775,5840,0.4603174603174603,5880,0.4511960406928787,44760,0.5375265220987521,49723,1.354193252003471,118242,0.15846507126183743,29849,0.3492808005003127,45936,0.5825945359146011,48994,1.4773156899810964,117345,0.1322276667923106,30378,0.3870872641509434
00rIcvqmfci_oJWkOqPqmg,19128,40.0571665,-75.2357367,4.5,92,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,NA,0,0,NA,0,1,0,0,0,1,5,8,4.75,4.9286,8,14,8,6,38309,37644,5384,5069,3923,3492,23238,23403,5764,5680,20952,16635,78528,21782,20338,16472,78913,21916,-0.41413206947463527,9,38309,0.2430230320138577,37644,0.1979004536874524,5384,0.047337278106508875,5069,0,3923,0.6446886446886447,3492,0.528174936921783,23238,0.342579228114214,23403,0.3223614487874821,5764,0.4383838383838384,5680,0.3962056640087985,20952,-0.3186607688711475,16635,-0.33474554642437854,78528,-0.5952213766534454,21782,-0.15522201375859912,20338,-0.3436945901935951,16472,-0.33086845324141,78913,-0.5920844327176781,21916,-0.11185141509433963
01mP5a06zQpaYOakfaVBOQ,19118,40.0727911933,-75.1949470435,2.5,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,0,NA,NA,1,NA,1,2,1,0,2,1,0,8,2.2,2.6,5,5,5,4,10919,10884,1458,1309,1655,1600,5577,5469,2229,2506,11670,8138,44921,13890,11063,7544,44218,13895,-0.3526310904530189,14,10919,-0.635593764034131,10884,-0.6882802927443123,1458,-0.6786242603550295,1309,-0.7219662058371735,1655,-0.39377289377289376,1600,-0.2674516400336417,5577,-0.7657358016943834,5469,-0.7956486503335204,2229,-0.5818181818181818,2506,-0.4764916139675557,11670,-0.652461610385874,8138,-0.768465111530805,44921,-1.2330100772398611,13890,-0.6487804878048781,11063,-0.6793197032748326,7544,-0.8272545313021239,44218,-1.2459668300037694,13895,-0.5847877358490566
02nb6CI8w-2EoSEkQdk2Wg,19147,39.9361704128,-75.1469422175,4,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,2,1,2,5,4,3.7273,8,11,15,6,39060,38472,5468,5475,2515,2236,26832,26522,4245,4239,30187,17884,131221,28866,29876,17615,132276,28563,0.927272218594734,22,39060,0.2671136203246295,38472,0.22532039606583434,5468,0.0628698224852071,5475,0.07795698924731183,2515,0,2236,0,26832,0.5681204894885472,26522,0.5168006982108347,4245,0,4239,0,30187,0.013449850757003633,17884,-0.27099178194068707,131221,0.40477862334655457,28866,0.28780487804878047,29876,0.0014474398407816175,17615,-0.2673190259090404,132276,0.4136260836788541,28563,0.2800707547169811
03cvVjbkCOtiIt51M-MLFg,19146,39.9462612,-75.179681,4.5,65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,NA,NA,1,NA,1,1,0,0,0,1,1,4,4.5,5,4,4,4,2,38873,39282,5386,5379,3562,3312,25232,25886,4693,4705,49145,49443,183943,43333,49318,48560,182670,43068,0.8247670204602402,18,38873,0.2611150317572336,39282,0.25214425274033847,5386,0.04770710059171598,5379,0.05952380952380952,3562,0.4793956043956044,3312,0.45248107653490327,25232,0.46771258236586133,25886,0.4771522972383268,4693,0.1292929292929293,4705,0.12812757767390706,49145,0.6952206278994498,49443,1.3399009749374713,183943,1.4053289810790808,43333,1.1925578486554096,49318,0.7049755744526868,48560,1.4531858111864784,182670,1.3633810780248774,43068,1.135318396226415
03jQGGJ2ch0uHTtW-UUUqg,19147,39.9404915,-75.1496827,4,620,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,NA,NA,1,NA,1,2,0,1,0,1,27,14,4.2714,3.9048,70,63,83,89,39060,38472,5468,5475,2515,2236,26832,26522,4245,4239,30187,17884,131221,28866,29876,17615,132276,28563,1.2433640638309953,26,39060,0.2671136203246295,38472,0.22532039606583434,5468,0.0628698224852071,5475,0.07795698924731183,2515,0,2236,0,26832,0.5681204894885472,26522,0.5168006982108347,4245,0,4239,0,30187,0.013449850757003633,17884,-0.27099178194068707,131221,0.40477862334655457,28866,0.28780487804878047,29876,0.0014474398407816175,17615,-0.2673190259090404,132276,0.4136260836788541,28563,0.2800707547169811
04o5yH6y_49RkLuEaiW5mg,19151,39.9892351,-75.2497887,3,50,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,1,NA,NA,1,NA,0,2,0,0,0,1,1,8,2.9,2.3636,10,11,2,3,33174,33343,6877,7019,4263,4261,18221,18171,3813,3892,25602,17172,63324,16918,26024,17068,64056,17315,-0.3745684404144147,7,33174,0.07830243151344068,33343,0.05546908633307945,6877,0.3234097633136095,7019,0.37442396313364057,4263,0.8003663003663004,4261,0.851555929352397,18221,0.027737684342641983,18171,-0.003802755439187083,3813,-0.12467532467532468,3892,-0.09540830354687929,25602,-0.15143668860358903,17172,-0.3073350007656577,63324,-0.8837606513199097,16918,-0.4594121325828643,26024,-0.13794101682648816,17068,-0.29773156899810965,64056,-0.8720882020354316,17315,-0.38313679245283017
04UD14gamNjLY0IDYVhHJg,19147,39.9380132,-75.1481307,4,273,NA,NA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,1,0,NA,0,NA,0,2,0,0,0,1,9,5,3.5185,3.7857,27,14,19,10,39060,38472,5468,5475,2515,2236,26832,26522,4245,4239,30187,17884,131221,28866,29876,17615,132276,28563,0.9782705067262863,24,39060,0.2671136203246295,38472,0.22532039606583434,5468,0.0628698224852071,5475,0.07795698924731183,2515,0,2236,0,26832,0.5681204894885472,26522,0.5168006982108347,4245,0,4239,0,30187,0.013449850757003633,17884,-0.27099178194068707,131221,0.40477862334655457,28866,0.28780487804878047,29876,0.0014474398407816175,17615,-0.2673190259090404,132276,0.4136260836788541,28563,0.2800707547169811
04vmwMgr5bmT8tGokHrLEg,19148,39.9169865,-75.1528165,4.5,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,1,NA,1,NA,1,NA,0,0,2,1,0,8,4.8333,4.5,12,12,3,1,52594,52259,9257,9472,4110,4141,31531,31193,7696,7453,28581,14140,110165,24264,27997,13926,110329,23813,0.13722124163002844,6,52594,0.7012574581381921,52259,0.681888929363844,9257,0.7634985207100592,9472,0.8454301075268817,4110,0.7303113553113553,4141,0.8010933557611438,31531,0.8630059617194854,31193,0.807992020447603,7696,0.9959595959595959,7453,0.8836953533131702,28581,-0.04430539072895314,14140,-0.46209994385176867,110165,0.005180953826884026,24264,0,27997,-0.06654604667993487,13926,-0.47242299566329365,110329,0,23813,0
_05DcCQmCP5aGnfCnI4r9Q,19103,39.9500535,-75.1689142564,4,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,NA,1,NA,NA,1,NA,1,1,0,0,2,1,7,5,4.037,4.25,27,20,87,74,24219,24214,1290,1246,1926,1859,15772,15803,5231,5306,16174,32406,83217,17953,15565,31787,83400,18544,1.4813716443204064,10,24219,-0.20895618143324565,24214,-0.24684571315031295,1290,-0.709689349112426,1246,-0.734062980030722,1926,-0.2696886446886447,1859,-0.15853658536585366,15772,-0.12594916849701915,15803,-0.15142447478336762,5231,0.28455988455988457,5306,0.29337365960956835,16174,-0.4904880066170389,32406,0.47026695931805423,83217,-0.506234224659822,17953,-0.3946841776110069,15565,-0.5164103491948616,31787,0.5206271544534639,83400,-0.5075197889182058,18544,-0.31067216981132073
